text,category
עובר ושב,פיננסי
מס' לקוח ,פיננסי
סך החיוב הקרוב עבור כרטיסי אשראי,פיננסי
העברת כספים ,פיננסי
תנועות בחשבון,פיננסי
כרטיסי אשראי שהונפקו על ידי לאומי ,פיננסי
ריכוז יתרות,פיננסי
שערוך תיק ניירות הערך אינו סופי עבור לאומי טרייד,פיננסי
בנק לאומי,פיננסי
בנק הפועלים,פיננסי
בנק דיסקונט,פיננסי
בנק אוצר החייל,פיננסי
בנק מזרחי טפחות,פיננסי
בנק ירושלים,פיננסי
בנק אגוד,פיננסי
בנק הפועלים למשכנתאות,פיננסי
בנק מימון למשכנתאות,פיננסי
סך יתרות בזכות,פיננסי
פירוט מסגרות אשראי ,פיננסי
חשבון בבנק,פיננסי
החשבונית המצורפת מתייחסת לחשבון שלך,פיננסי
העברנו את הסכום לחשבונך בהצלחה,פיננסי
חשבונך עומד בסכום יתרה הנדרשת,פיננסי
העסקה בוצעה בהצלחה,פיננסי
הכנסנו עדכון חשוב לחשבון שלך,פיננסי
נכון ל-יום יתרת האשראי שלך עומדת על,פיננסי
פיקדונות וחסכונות,פיננסי
ניירות ערך,פיננסי
לצפייה בנתוני זמן אמת עובר לאתר לאומי טרייד ,פיננסי
כרטיס אשראי חוץ בנקאיים,פיננסי
יתרות בזכות,פיננסי
יתרות בחובה ,פיננסי
ריכוז הלוואות ומשכנתאות,פיננסי
ריכוז ערבויות,פיננסי
פירוט הלוואה שקלית,פיננסי
הזמנת מסמכי משכנתאות,פיננסי
מחשבון משכנתא,פיננסי
בקשת משכנא,פיננסי
הלוואת דיור שאינה משכנתא ,פיננסי
הלוואת דיגיטל ,פיננסי
"ריכוז יתרות מט""ח",פיננסי
"תנועת בחשבון מט""ח",פיננסי
ריכוז יתרות לפי מטבע,פיננסי
עסקאות עתידיות,פיננסי
עסקאות עתידיות ריבית,פיננסי
ביצוע תשלום במטבע חוץ,פיננסי
הזמנת פנקסי שיקים,פיננסי
שליפת שיקים דחויים,פיננסי
ביטול שיקים,פיננסי
הפקת פלט לשיק שחזר,פיננסי
משיכה מפיקדון,פיננסי
משיכה מחיסכון,פיננסי
הפקדה לפיקדון מובנה,פיננסי
פתיחת תיק ניירות ערך חדש,פיננסי
ריכוז יתרות,פיננסי
פירוט יתרות,פיננסי
"דוחות שנתיים ת""ז בנקאית",פיננסי
בקשת העתק מדוח האשראי,פיננסי
דוח תשואה ונתוני פעילות בפיקדון נירות ערך,פיננסי
אישור ניכוי מס,פיננסי
אישור יתרות לסוף השנה,פיננסי
אישור בעלות חשבון,פיננסי
הצהרה על הפקדה,פיננסי
סטטוס הצהרות,פיננסי
רשימת מצהירים,פיננסי
